caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
login_no_extrator_como_administrador,1,1,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,2,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,3,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,4,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,5,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,6,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,7,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,8,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,9,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,10,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,11,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,12,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,13,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,14,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,15,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,1,16,obsoleto_funcionalidade_alterada,8,7,48
login_no_extrator_como_administrador,2,1,obsoleto_funcionalidade_alterada,25,11,54
login_no_extrator_como_administrador,2,2,obsoleto_funcionalidade_alterada,25,11,54
login_no_extrator_como_administrador,2,3,obsoleto_funcionalidade_alterada,25,11,54
login_no_extrator_como_administrador,2,4,obsoleto_funcionalidade_alterada,25,11,54
login_no_extrator_como_administrador,2,5,obsoleto_funcionalidade_alterada,25,11,54
login_no_extrator_como_administrador,2,6,obsoleto_funcionalidade_alterada,25,11,54
login_no_extrator_como_administrador,2,7,obsoleto_funcionalidade_alterada,25,11,54
login_no_extrator_como_administrador,2,8,obsoleto_funcionalidade_alterada,25,11,54
login_no_extrator_como_administrador,2,9,obsoleto_funcionalidade_alterada,25,11,54
