caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
login_no_extrator_como_administrador,1,1,2,8,7,48
login_no_extrator_como_administrador,1,2,2,8,7,48
login_no_extrator_como_administrador,1,3,2,8,7,48
login_no_extrator_como_administrador,1,4,2,8,7,48
login_no_extrator_como_administrador,1,5,2,8,7,48
login_no_extrator_como_administrador,1,6,2,8,7,48
login_no_extrator_como_administrador,1,7,2,8,7,48
login_no_extrator_como_administrador,1,8,2,8,7,48
login_no_extrator_como_administrador,1,9,2,8,7,48
login_no_extrator_como_administrador,1,10,2,8,7,48
login_no_extrator_como_administrador,1,11,2,8,7,48
login_no_extrator_como_administrador,1,12,2,8,7,48
login_no_extrator_como_administrador,1,13,2,8,7,48
login_no_extrator_como_administrador,1,14,2,8,7,48
login_no_extrator_como_administrador,1,15,2,8,7,48
login_no_extrator_como_administrador,1,16,2,8,7,48
login_no_extrator_como_administrador,2,1,2,25,11,54
login_no_extrator_como_administrador,2,2,2,25,11,54
login_no_extrator_como_administrador,2,3,2,25,11,54
login_no_extrator_como_administrador,2,4,2,25,11,54
login_no_extrator_como_administrador,2,5,2,25,11,54
login_no_extrator_como_administrador,2,6,2,25,11,54
login_no_extrator_como_administrador,2,7,2,25,11,54
login_no_extrator_como_administrador,2,8,2,25,11,54
login_no_extrator_como_administrador,2,9,2,25,11,54
login_no_extrator_como_administrador,2,10,2,25,11,54
login_no_extrator_como_administrador,2,11,2,25,11,54
login_no_extrator_como_administrador,2,12,2,25,11,54
login_no_extrator_como_administrador,2,13,2,25,11,54
login_no_extrator_como_administrador,2,14,2,25,11,54
login_no_extrator_como_administrador,2,15,2,25,11,54
login_no_extrator_como_administrador,2,16,2,25,11,54
login_no_extrator_como_administrador,2,17,2,25,11,54
login_no_extrator_como_administrador,2,18,2,25,11,54
login_no_extrator_como_administrador,2,19,2,25,11,54
login_no_extrator_como_administrador,2,20,2,25,11,54
login_no_extrator_como_administrador,2,21,2,25,11,54
login_no_extrator_como_administrador,2,22,2,25,11,54
login_no_extrator_como_administrador,2,23,2,25,11,54
login_no_extrator_como_administrador,2,24,2,25,11,54
login_no_extrator_como_administrador,2,25,2,25,11,54
login_no_extrator_como_administrador,2,26,2,25,11,54
login_no_extrator_como_administrador,2,27,2,25,11,54
login_no_extrator_como_administrador,2,28,2,25,11,54
login_no_extrator_como_administrador,2,29,2,25,11,54
login_no_extrator_como_administrador,2,30,2,25,11,54
login_no_extrator_como_administrador,2,31,2,25,11,54
login_no_extrator_como_administrador,3,1,2,12,9,54
login_no_extrator_como_administrador,3,2,1,12,9,54
login_no_extrator_como_administrador,3,3,2,12,9,54
login_no_extrator_como_administrador,3,4,3,12,9,54
login_no_extrator_como_administrador,3,5,3,12,9,54
login_no_extrator_como_administrador,3,6,2,12,9,54
login_no_extrator_como_administrador,3,7,2,12,9,54
login_no_extrator_como_administrador,3,8,2,12,9,54
login_no_extrator_como_administrador,3,9,2,12,9,54
login_no_extrator_como_administrador,3,10,2,12,9,54
login_no_extrator_como_administrador,3,11,2,12,9,54
login_no_extrator_como_administrador,3,12,2,12,9,54
login_no_extrator_como_administrador,3,13,2,12,9,54
login_no_extrator_como_administrador,3,14,2,12,9,54
login_no_extrator_como_administrador,3,15,2,12,9,54
login_no_extrator_como_administrador,3,16,2,12,9,54
login_no_extrator_como_administrador,3,17,2,12,9,54
login_no_extrator_como_administrador,3,18,2,12,9,54
login_no_extrator_como_administrador,3,19,3,12,9,54
login_no_extrator_como_administrador,3,20,3,12,9,54
login_no_extrator_como_administrador,3,21,2,12,9,54
login_no_extrator_como_administrador,3,22,2,12,9,54
login_no_extrator_como_administrador,3,23,2,12,9,54
login_no_extrator_como_administrador,3,24,2,12,9,54
login_no_extrator_como_administrador,3,25,3,12,9,54
extracoes_por_diretorio,1,1,2,22,4,78
extracoes_por_diretorio,1,2,2,22,4,78
extracoes_por_diretorio,1,3,2,22,4,78
extracoes_por_diretorio,1,4,2,22,4,78
extracoes_por_diretorio,1,5,2,22,4,78
extracoes_por_diretorio,1,6,2,22,4,78
extracoes_por_diretorio,1,7,2,22,4,78
extracoes_por_diretorio,1,8,2,22,4,78
extracoes_por_diretorio,1,9,2,22,4,78
extracoes_por_diretorio,1,10,2,22,4,78
extracoes_por_diretorio,1,11,2,22,4,78
extracoes_por_diretorio,1,12,2,22,4,78
extracoes_por_diretorio,1,13,2,22,4,78
extracoes_por_diretorio,1,14,2,22,4,78
extracoes_por_diretorio,1,15,2,22,4,78
extracoes_por_diretorio,2,1,3,27,12,67
extracoes_por_diretorio,2,2,3,22,12,67
extracoes_por_diretorio,2,3,3,22,12,67
extracoes_por_diretorio,2,4,3,22,12,67
extracoes_por_diretorio,2,5,3,22,12,67
extracoes_por_diretorio,2,6,3,22,12,67
extracoes_por_diretorio,2,7,3,22,12,67
extracoes_por_diretorio,2,8,3,22,12,67
extracoes_por_diretorio,3,1,2,8,6,67
extracoes_por_diretorio,3,2,2,8,6,67
extracoes_por_diretorio,3,3,2,8,6,67
extracoes_por_diretorio,3,4,2,8,6,67
extracoes_por_diretorio,3,5,2,8,6,67
extracoes_por_diretorio,3,6,2,8,6,67
extracoes_por_diretorio,3,7,2,8,6,67
extracoes_por_diretorio,3,8,2,8,6,67
extracao_via_interface_matrix,1,1,2,18,9,44
extracao_via_interface_matrix,1,2,2,18,9,44
extracao_via_interface_matrix,1,3,2,18,9,44
extracao_via_interface_matrix,1,4,2,18,9,44
extracao_via_interface_matrix,1,5,2,18,9,44
extracao_via_interface_matrix,1,6,2,18,9,44
extracao_via_interface_matrix,1,7,2,18,9,44
extracao_via_interface_matrix,1,8,2,18,9,44
extracao_via_interface_matrix,1,9,2,18,9,44
extracao_via_interface_matrix,1,10,2,18,9,44
extracao_via_interface_matrix,1,11,2,18,9,44
extracao_via_interface_matrix,1,12,2,18,9,44
extracao_via_interface_matrix,1,13,2,18,9,44
